提出者名,提出者業種,経常利益率5,経常利益5,売上高5,new_vector,recommend
株式会社ベネフィット・ワン,サービス業,0.2605110858592532,9858,37841,"[0.2605110858592532, 1.2, 1.5]",[180 204 202 104 167]
エン・ジャパン株式会社,サービス業,0.18581626682270333,7939,42725,"[0.18581626682270333, 1.2, 1.5]",[181 179   7 224  31]
フォースタートアップス株式会社,サービス業,0.12662601067318,161231,1273285,"[0.12662601067318, 1.2, 1.5]",[182  24  28 177  61]
株式会社成学社,サービス業,0.0041514847413974005,48331,11641859,"[0.0041514847413974005, 1.2, 1.5]",[183 205 240 214 111]
株式会社マネジメントソリューションズ,サービス業,0.03895137117923308,203647,5228237,"[0.03895137117923308, 1.2, 1.5]",[184 215  65  39 201]
株式会社船井総研ホールディングス,サービス業,0.203420306069445,5091,25027,"[0.203420306069445, 1.2, 1.5]",[185 149 222 200 231]
小野観光開発株式会社,サービス業,0.010159835355370324,5218,513591,"[0.010159835355370324, 1.2, 1.5]",[186  90   5 178  27]
株式会社ソラスト,サービス業,0.057213086963892185,6075,106182,"[0.057213086963892185, 1.2, 1.5]",[  1  40 187 219 147]
弁護士ドットコム株式会社,サービス業,0.03427198751427913,182261,5318075,"[0.03427198751427913, 1.2, 1.5]",[ 12 153 188 199 137]
株式会社エイジス,サービス業,0.17388708351103335,4862950,27966137,"[0.17388708351103335, 1.2, 1.5]",[189 145  63 224 172]
株式会社光ハイツ・ヴェラス,サービス業,0.05214275972630728,162106,3108888,"[0.05214275972630728, 1.2, 1.5]",[164 108 190 161  72]
株式会社ＭＳ−Ｊａｐａｎ,サービス業,0.4785545236424176,1612578,3369685,"[0.4785545236424176, 1.2, 1.5]",[191   0  80  95 112]
札幌臨床検査センター株式会社,サービス業,0.06788407445226248,1188144,17502544,"[0.06788407445226248, 1.2, 1.5]",[132  11 173 192 105]
ＴＡＣ株式会社,サービス業,0.032722049567889336,646254,19749802,"[0.032722049567889336, 1.2, 1.5]",[ 48   3  64 193 137]
富士ソフトサービスビューロ株式会社,サービス業,0.05252112924711205,554232,10552553,"[0.05252112924711205, 1.2, 1.5]",[108 161 164 197 194]
株式会社ジェイエスエス,サービス業,0.013869906991955646,90078,6494492,"[0.013869906991955646, 1.2, 1.5]",[154  16 195   5  90]
株式会社翻訳センター,サービス業,0.04693227451011652,465140,9910877,"[0.04693227451011652, 1.2, 1.5]",[ 42  35 196 209  60]
株式会社オールアバウト,サービス業,0.05308982132938345,917562,17283200,"[0.05308982132938345, 1.2, 1.5]",[164  75 194 197  84]
株式会社昴,サービス業,0.04985322526669145,182787,3666503,"[0.04985322526669145, 1.2, 1.5]",[198  44 126 110  45]
株式会社東京個別指導学院,サービス業,0.03384790334994573,647921,19142131,"[0.03384790334994573, 1.2, 1.5]",[188 199 137  23 153]
ディップ株式会社,サービス業,0.20006426880782774,6501042,32494768,"[0.20006426880782774, 1.2, 1.5]",[200 149 185 222  31]
株式会社アドウェイズ,サービス業,0.038069613683979986,1866195,49020592,"[0.038069613683979986, 1.2, 1.5]",[201 215  46  65 184]
ウェルビー株式会社,サービス業,0.2573411332173054,2104070,8176190,"[0.2573411332173054, 1.2, 1.5]",[202 180 104 204 167]
三井住友ファイナンス＆リース株式会社,サービス業,0.03135383402408271,45096,1438293,"[0.03135383402408271, 1.2, 1.5]",[ 29 171 203 122 239]
岡崎クラシック株式会社,サービス業,0.26242783348526283,51819,197460,"[0.26242783348526283, 1.2, 1.5]",[204 180 202 167 104]
ＡＢホテル株式会社,サービス業,0.005601725503634115,26548,4739254,"[0.005601725503634115, 1.2, 1.5]",[111 214 205 238 183]
株式会社山田クラブ２１,サービス業,-0.006836798659011298,-18770,2745437,"[-0.006836798659011298, 1.2, 1.5]",[206 150  58 234 240]
ＧＭＯアドパートナーズ株式会社,サービス業,0.01660577894572145,573224,34519549,"[0.01660577894572145, 1.2, 1.5]",[236 207  18 230  77]
株式会社エクストリーム,サービス業,0.1204526574340617,750501,6230672,"[0.1204526574340617, 1.2, 1.5]",[ 91 208 114  52  93]
ＲＰＡホールディングス株式会社,サービス業,0.046574220558736806,521932,11206457,"[0.046574220558736806, 1.2, 1.5]",[ 42  35 196 209  60]
株式会社ニッパンレンタル,サービス業,0.030525928650239058,249,8157,"[0.030525928650239058, 1.2, 1.5]",[ 67  66 171 210 122]
株式会社トライステージ,サービス業,0.027947675367550027,1335411,47782543,"[0.027947675367550027, 1.2, 1.5]",[211  19  67  66 210]
フルテック株式会社,サービス業,0.06141570792419964,703892,11461107,"[0.06141570792419964, 1.2, 1.5]",[212 220  13  57 216]
日総工産株式会社,サービス業,0.04323222846085057,2949,68213,"[0.04323222846085057, 1.2, 1.5]",[213 131  33  81  78]
インパクトホールディングス株式会社,サービス業,0.0057285620688883,63443,11074856,"[0.0057285620688883, 1.2, 1.5]",[111 214 205  27 238]
株式会社レントラックス,サービス業,0.038812949363588416,479344,12350105,"[0.038812949363588416, 1.2, 1.5]",[ 65 184 201 215  46]
アミタホールディングス株式会社,サービス業,0.06343538477830263,292327,4608264,"[0.06343538477830263, 1.2, 1.5]",[ 57   2 216  85  89]
株式会社クイック,サービス業,0.10573474418850523,2124185,20089754,"[0.10573474418850523, 1.2, 1.5]",[ 59  37 217 251 101]
株式会社ＣＬホールディングス,サービス業,0.07888114541752718,1351165,17129125,"[0.07888114541752718, 1.2, 1.5]",[218 148 225  62  98]
日本ハウズイング株式会社,サービス業,0.057312098254281664,6589,114967,"[0.057312098254281664, 1.2, 1.5]",[  1  40 187 219 147]
ＵＴグループ株式会社,サービス業,0.06245928550954999,7191,115131,"[0.06245928550954999, 1.2, 1.5]",[ 13 220 212  57  85]
株式会社ベクトル,サービス業,0.07505986216550438,2797747,37273543,"[0.07505986216550438, 1.2, 1.5]",[221 125  55  73  10]
ＷＤＢココ株式会社,サービス業,0.20509136060452468,527238,2570747,"[0.20509136060452468, 1.2, 1.5]",[222 185 149 231 200]
株式会社エル・ティー・エス,サービス業,0.08049699994690171,447220,5555735,"[0.08049699994690171, 1.2, 1.5]",[223 244   8 225  47]
株式会社エスクロー・エージェント・ジャパン,サービス業,0.17888414268633904,549687,3072866,"[0.17888414268633904, 1.2, 1.5]",[224 189 179 181 145]
株式会社識学,サービス業,0.07955746209098165,199371,2506000,"[0.07955746209098165, 1.2, 1.5]",[225  47   8 218 223]
株式会社インターネットインフィニティー,サービス業,0.07207182273454435,249992,3468651,"[0.07207182273454435, 1.2, 1.5]",[ 10 226  88   9 125]
株式会社ファンコミュニケーションズ,サービス業,0.10160153857056084,2985053,29379998,"[0.10160153857056084, 1.2, 1.5]",[227 165 101  37  59]
株式会社土木管理総合試験所,サービス業,0.0661012116662747,410355,6207980,"[0.0661012116662747, 1.2, 1.5]",[229 233 241 228 176]
南国産業開発株式会社,サービス業,0.0652383379840941,22140,339371,"[0.0652383379840941, 1.2, 1.5]",[229 228   2  89 241]
株式会社船場,サービス業,0.018815410272105072,408432,21707313,"[0.018815410272105072, 1.2, 1.5]",[ 77 230  21  18  41]
ギークス株式会社,サービス業,0.2082789741339675,713942,3427816,"[0.2082789741339675, 1.2, 1.5]",[231 222 185 109 149]
株式会社　出水ゴルフクラブ,サービス業,0.04715459280395951,12014,254779,"[0.04715459280395951, 1.2, 1.5]",[ 42  35 196 209  60]
株式会社イチネンホールディングス,サービス業,0.06671224848603242,7513,112618,"[0.06671224848603242, 1.2, 1.5]",[176 228 241 233 132]
